country,date,elo_rating
Colombia,2024-11-19,1977
Colombia,2025-06-06,1936
Colombia,2025-06-10,1950
Colombia,2025-09-04,1957
Colombia,2025-09-09,1981
Colombia,2025-10-11,1993
Colombia,2025-10-14,1988
Colombia,2025-11-15,1990
Colombia,2025-11-18,1998
Colombia,2026-03-26,1986
Colombia,2026-03-29,1975
Comoros,2024-03-22,1298
Comoros,2024-03-25,1304
Comoros,2024-06-07,1283
Comoros,2024-06-11,1304
Comoros,2024-06-27,1283
Comoros,2024-06-30,1326
Comoros,2024-07-02,1349
Comoros,2024-07-05,1338
Comoros,2024-07-07,1343
Comoros,2024-09-04,1343
Comoros,2024-09-09,1342
Comoros,2024-10-11,1379
Comoros,2024-10-15,1392
Comoros,2024-11-15,1410
Comoros,2024-11-18,1424
Comoros,2025-10-12,1390
Comoros,2025-12-05,1374
Comoros,2025-12-21,1358
Costa Rica,2024-02-02,1581
Costa Rica,2024-03-23,1605
Costa Rica,2024-03-26,1604
Costa Rica,2024-05-31,1611
Costa Rica,2024-06-06,1613
Costa Rica,2024-06-09,1619
Costa Rica,2024-06-24,1640
Costa Rica,2024-06-28,1631
Costa Rica,2024-07-02,1660
Costa Rica,2024-09-05,1665
Costa Rica,2024-09-09,1661
Costa Rica,2024-10-11,1650
Costa Rica,2024-10-15,1665
Costa Rica,2024-11-14,1642
Costa Rica,2024-11-18,1652
Costa Rica,2025-09-09,1665
Costa Rica,2025-11-13,1642
Costa Rica,2026-03-27,1634
Costa Rica,2026-03-31,1613
Croatia,2024-03-23,1941
Croatia,2024-03-26,1952
Croatia,2024-06-03,1954
Croatia,2024-06-08,1968
Croatia,2024-06-15,1931
Croatia,2024-06-19,1913
Croatia,2024-06-24,1915
Croatia,2024-09-05,1903
Croatia,2024-09-08,1911
Croatia,2024-10-12,1917
Croatia,2024-10-15,1912
Croatia,2024-11-15,1886
Croatia,2024-11-18,1886
Croatia,2025-06-06,1912
Croatia,2025-06-09,1926
Croatia,2025-09-05,1928
Croatia,2025-09-08,1931
Croatia,2025-10-09,1927
Croatia,2025-10-12,1927
Croatia,2025-11-14,1928
Croatia,2025-11-17,1932
Croatia,2026-03-26,1944
Croatia,2026-03-31,1930
Curaçao,2024-06-05,1341
Curaçao,2024-06-08,1353
Curaçao,2024-09-06,1320
Curaçao,2024-09-09,1327
Curaçao,2024-10-11,1314
Curaçao,2024-10-14,1322
Curaçao,2024-11-15,1328
Curaçao,2024-11-18,1335
Curaçao,2025-06-21,1410
Curaçao,2025-06-24,1396
